"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"As",923,497,0.538461538461538,"female","65_69",62,38,4,0,0,0,1,0,0,1
"As",923,497,0.538461538461538,"male","70_74",59,31,5,0,0,0,0,1,1,0
"As",923,497,0.538461538461538,"female","70_74",64,38,5,0,0,0,0,1,0,1
"Asse",3617,1357,0.375172795134089,"male","50_54",610,173,1,1,0,0,0,0,1,0
"Asse",3617,1357,0.375172795134089,"female","50_54",589,182,1,1,0,0,0,0,0,1
"Asse",3617,1357,0.375172795134089,"male","55_59",461,134,2,0,1,0,0,0,1,0
"Asse",3617,1357,0.375172795134089,"female","55_59",458,164,2,0,1,0,0,0,0,1
"Asse",3617,1357,0.375172795134089,"male","60_64",290,133,3,0,0,1,0,0,1,0
"Asse",3617,1357,0.375172795134089,"female","60_64",301,141,3,0,0,1,0,0,0,1
"Asse",3617,1357,0.375172795134089,"male","65_69",218,106,4,0,0,0,1,0,1,0
"Asse",3617,1357,0.375172795134089,"female","65_69",248,119,4,0,0,0,1,0,0,1
"Asse",3617,1357,0.375172795134089,"male","70_74",202,96,5,0,0,0,0,1,1,0
"Asse",3617,1357,0.375172795134089,"female","70_74",240,109,5,0,0,0,0,1,0,1
"Assenede",1677,871,0.51937984496124,"male","50_54",260,117,1,1,0,0,0,0,1,0
"Assenede",1677,871,0.51937984496124,"female","50_54",244,116,1,1,0,0,0,0,0,1
"Assenede",1677,871,0.51937984496124,"male","55_59",239,106,2,0,1,0,0,0,1,0
"Assenede",1677,871,0.51937984496124,"female","55_59",192,108,2,0,1,0,0,0,0,1
"Assenede",1677,871,0.51937984496124,"male","60_64",139,83,3,0,0,1,0,0,1,0
"Assenede",1677,871,0.51937984496124,"female","60_64",157,100,3,0,0,1,0,0,0,1
"Assenede",1677,871,0.51937984496124,"male","65_69",126,73,4,0,0,0,1,0,1,0
"Assenede",1677,871,0.51937984496124,"female","65_69",103,59,4,0,0,0,1,0,0,1
"Assenede",1677,871,0.51937984496124,"male","70_74",97,54,5,0,0,0,0,1,1,0
"Assenede",1677,871,0.51937984496124,"female","70_74",120,55,5,0,0,0,0,1,0,1
"Avelgem",1162,516,0.444061962134251,"male","50_54",181,62,1,1,0,0,0,0,1,0
"Avelgem",1162,516,0.444061962134251,"female","50_54",164,70,1,1,0,0,0,0,0,1
"Avelgem",1162,516,0.444061962134251,"male","55_59",155,57,2,0,1,0,0,0,1,0
"Avelgem",1162,516,0.444061962134251,"female","55_59",134,59,2,0,1,0,0,0,0,1
"Avelgem",1162,516,0.444061962134251,"male","60_64",100,51,3,0,0,1,0,0,1,0
"Avelgem",1162,516,0.444061962134251,"female","60_64",101,45,3,0,0,1,0,0,0,1
"Avelgem",1162,516,0.444061962134251,"male","65_69",85,41,4,0,0,0,1,0,1,0
"Avelgem",1162,516,0.444061962134251,"female","65_69",85,42,4,0,0,0,1,0,0,1
"Avelgem",1162,516,0.444061962134251,"male","70_74",78,48,5,0,0,0,0,1,1,0
"Avelgem",1162,516,0.444061962134251,"female","70_74",79,41,5,0,0,0,0,1,0,1
"Baarle-Hertog",326,172,0.52760736196319,"male","50_54",54,21,1,1,0,0,0,0,1,0
"Baarle-Hertog",326,172,0.52760736196319,"female","50_54",54,28,1,1,0,0,0,0,0,1
"Baarle-Hertog",326,172,0.52760736196319,"male","55_59",37,16,2,0,1,0,0,0,1,0
"Baarle-Hertog",326,172,0.52760736196319,"female","55_59",55,31,2,0,1,0,0,0,0,1
"Baarle-Hertog",326,172,0.52760736196319,"male","60_64",24,15,3,0,0,1,0,0,1,0
"Baarle-Hertog",326,172,0.52760736196319,"female","60_64",27,17,3,0,0,1,0,0,0,1
"Baarle-Hertog",326,172,0.52760736196319,"male","65_69",24,12,4,0,0,0,1,0,1,0
"Baarle-Hertog",326,172,0.52760736196319,"female","65_69",15,10,4,0,0,0,1,0,0,1
"Baarle-Hertog",326,172,0.52760736196319,"male","70_74",12,5,5,0,0,0,0,1,1,0
"Baarle-Hertog",326,172,0.52760736196319,"female","70_74",24,17,5,0,0,0,0,1,0,1
"Balen",2521,1375,0.545418484728282,"male","50_54",406,163,1,1,0,0,0,0,1,0
"Balen",2521,1375,0.545418484728282,"female","50_54",374,199,1,1,0,0,0,0,0,1
"Balen",2521,1375,0.545418484728282,"male","55_59",338,161,2,0,1,0,0,0,1,0
"Balen",2521,1375,0.545418484728282,"female","55_59",301,159,2,0,1,0,0,0,0,1
"Balen",2521,1375,0.545418484728282,"male","60_64",245,152,3,0,0,1,0,0,1,0
"Balen",2521,1375,0.545418484728282,"female","60_64",228,142,3,0,0,1,0,0,0,1
"Balen",2521,1375,0.545418484728282,"male","65_69",169,100,4,0,0,0,1,0,1,0
"Balen",2521,1375,0.545418484728282,"female","65_69",173,119,4,0,0,0,1,0,0,1
"Balen",2521,1375,0.545418484728282,"male","70_74",131,83,5,0,0,0,0,1,1,0
"Balen",2521,1375,0.545418484728282,"female","70_74",156,97,5,0,0,0,0,1,0,1
"Beernem",1947,1057,0.542886492039034,"male","50_54",289,116,1,1,0,0,0,0,1,0
"Beernem",1947,1057,0.542886492039034,"female","50_54",237,119,1,1,0,0,0,0,0,1
"Beernem",1947,1057,0.542886492039034,"male","55_59",281,137,2,0,1,0,0,0,1,0
"Beernem",1947,1057,0.542886492039034,"female","55_59",261,146,2,0,1,0,0,0,0,1
"Beernem",1947,1057,0.542886492039034,"male","60_64",182,112,3,0,0,1,0,0,1,0
"Beernem",1947,1057,0.542886492039034,"female","60_64",149,99,3,0,0,1,0,0,0,1
"Beernem",1947,1057,0.542886492039034,"male","65_69",131,75,4,0,0,0,1,0,1,0
"Beernem",1947,1057,0.542886492039034,"female","65_69",128,80,4,0,0,0,1,0,0,1
"Beernem",1947,1057,0.542886492039034,"male","70_74",168,95,5,0,0,0,0,1,1,0
"Beernem",1947,1057,0.542886492039034,"female","70_74",121,78,5,0,0,0,0,1,0,1
"Beerse",1971,1074,0.544901065449011,"male","50_54",322,143,1,1,0,0,0,0,1,0
"Beerse",1971,1074,0.544901065449011,"female","50_54",298,147,1,1,0,0,0,0,0,1
"Beerse",1971,1074,0.544901065449011,"male","55_59",277,137,2,0,1,0,0,0,1,0
"Beerse",1971,1074,0.544901065449011,"female","55_59",236,122,2,0,1,0,0,0,0,1
"Beerse",1971,1074,0.544901065449011,"male","60_64",187,118,3,0,0,1,0,0,1,0
"Beerse",1971,1074,0.544901065449011,"female","60_64",193,125,3,0,0,1,0,0,0,1
"Beerse",1971,1074,0.544901065449011,"male","65_69",107,71,4,0,0,0,1,0,1,0
